               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.030409,             0.02845,           0.0042186,             0.75237,             0.66473,             0.71674,             0.39327,            0.031527,            0.034378,            0.010777,           0.0046446,           0.0046446,            0.038445
                  51,            0.024451,            0.023678,           0.0038294,             0.76674,             0.66251,             0.71914,             0.39512,            0.031038,            0.034383,            0.010776,           0.0046653,           0.0046653,            0.037165
                  52,            0.034041,            0.035817,           0.0052248,             0.77267,             0.66184,              0.7202,             0.39569,            0.030425,            0.034048,            0.010909,           0.0046827,           0.0046827,            0.035883
                  53,            0.026648,            0.019124,           0.0039371,             0.76046,             0.67595,             0.72266,             0.40394,            0.029593,            0.033581,            0.010981,           0.0046968,           0.0046968,            0.034597
                  54,             0.03002,             0.03644,            0.004865,             0.80019,              0.6586,             0.72907,              0.3944,            0.031174,            0.033613,            0.010619,           0.0047077,           0.0047077,            0.033308
                  55,            0.030578,            0.028495,           0.0044127,             0.80019,              0.6586,             0.72907,              0.3944,            0.031174,            0.033614,            0.010619,           0.0047153,           0.0047153,            0.032015
                  56,            0.031514,            0.025423,           0.0045505,             0.77469,              0.6725,             0.72786,             0.38508,            0.032124,            0.033825,            0.010466,           0.0047197,           0.0047197,             0.03072
                  57,            0.026894,            0.019706,            0.002967,             0.77199,             0.68007,             0.73001,             0.40599,             0.02931,            0.033656,            0.010356,           0.0047208,           0.0047208,            0.029421
                  58,             0.02994,            0.033113,           0.0060848,             0.78299,             0.67694,             0.73302,             0.41157,            0.029047,             0.03347,            0.010457,           0.0047188,           0.0047188,            0.028119
                  59,            0.027228,             0.01791,           0.0069779,             0.76828,             0.67485,             0.73338,             0.41083,            0.030269,            0.033385,            0.010375,           0.0047136,           0.0047136,            0.026814
                  60,            0.028543,            0.031508,             0.00435,             0.76828,             0.67485,             0.73338,             0.41083,            0.030269,            0.033383,            0.010375,           0.0047053,           0.0047053,            0.025505
                  61,            0.027166,              0.0225,           0.0033015,             0.80875,             0.65451,             0.73478,             0.41138,            0.030864,            0.033566,            0.010532,            0.004694,            0.004694,            0.024194
